OBJECTID,ADDRKEY,PRCLID,BLUSAGECUBICFT,METERSZ,LATITUDE,LONGITUDE,Market_val,EDU,EDU_GALLONS,BILLED_GALLONS,Number_of_Baths,Number_of_Half_Baths,Number_of_Beds,USAGE_CLASSIFICATION,PARCEL_RATIO,USAGE_BINARY_RESULT,OBJECTID_1,Shape,Add_FULL_BEXAR,Add_CITY,Add_STATE,Add_ZIP,Add_ADDRKEY,Add_PARCELKEY,Add_STNOSORTAS,Add_LATITUDE,Add_LONGITUDE,Comm_SRVTYPE,Comm_PRCLKEY,Comm_ADDRKEY,PropertySquareFootage,BCAD_Residential_Footprint,Houses,Num_Rooms,PercentImperviousCover,ResidentialFootprintClass,PropertySizeClass,ImperviousCoverClass,PerviousCoverPercentage,PerviousCoverClass,PressureZoneString,MULTI_LABEL
7960,10615,502387,3200.0,0.75,29.53535,-98.5182,368580,1.5,158775,23936.0,2,1,4,LOW_USAGE,19.23489999,0,21613,0,ANCHOR DR,SAN ANTONIO,TX,78213,10615,339472,1602,13742511.51,2121675.385,RESIDENT,339472,10615,17598.08566,3617.001953,1,0,20.55338304,B,A,A,79.44661713,D,1012,LOW_USAGE
7961,10616,502388,21600.0,0.75,29.53556,-98.5185,338200,1.5,158775,161568.0,3,0,5,HIGH_USAGE,24.5463284,1,21614,0,ANCHOR DR,SAN ANTONIO,TX,78213,10616,339473,1606,13742584.92,2121600.87,RESIDENT,339473,10616,13902.91259,3844.998047,1,0,27.65606143,B,A,B,72.34394073,D,1012,HIGH_USAGE
7962,10617,502389,8600.0,0.75,29.53576,-98.5187,338490,1.5,158775,64328.0,3,0,4,LOW_USAGE,24.56737641,0,21615,0,ANCHOR DR,SAN ANTONIO,TX,78213,10617,339474,1610,13742659.7,2121522.11,RESIDENT,339474,10617,13101.79393,3467.003906000001,1,0,26.46205492,B,A,B,73.53794861,D,1012,MEDIUM
7963,10618,502390,7400.0,0.75,29.53595,-98.519,252960,1.5,158775,55352.0,2,1,4,LOW_USAGE,16.92063676,0,21616,0,ANCHOR DR,SAN ANTONIO,TX,78213,10618,339475,1614,13742726.98,2121439.45,RESIDENT,339475,10618,14325.08345,3430.003906000001,1,0,23.94404137,B,A,A,76.05596161,D,1012,MEDIUM
20247,25878,506531,6800.0,0.625,29.515970000000006,-98.501,211300,1.0,105850,50864.0,2,0,4,LOW_USAGE,22.75225391,0,33613,0,BAMBURGH DR,SAN ANTONIO,TX,78216,25878,331231,202,13735487.86,2127198.615,RESIDENT,331231,25878,9592.297907,2811.003906,1,0,29.30480197,B,A,B,70.69519806,C,1012,MEDIUM
20248,25879,506519,5600.0,0.625,29.51646,-98.501,203220,1.0,105850,41888.0,2,0,2,LOW_USAGE,22.22624705,0,33614,0,BAMBURGH DR,SAN ANTONIO,TX,78216,25879,330862,203,13735665.08,2127198.707,RESIDENT,330862,25879,9626.66098,2669.003906,1,0,27.72512621,B,A,B,72.27487183,D,1012,MEDIUM
20249,25880,506530,6200.0,0.625,29.515970000000006,-98.5012,149310,1.0,105850,46376.0,2,0,3,LOW_USAGE,16.53490569,0,33615,0,BAMBURGH DR,SAN ANTONIO,TX,78216,25880,331230,206,13735487.53,2127126.44,RESIDENT,331230,25880,8962.29792,1646.0,1,0,18.36582554,A,A,A,81.63417816,D,1012,MEDIUM
20251,25882,506529,6000.0,0.625,29.515970000000006,-98.5014,143510,1.0,105850,44880.0,1,0,3,LOW_USAGE,15.89260141,0,33617,0,BAMBURGH DR,SAN ANTONIO,TX,78216,25882,331229,210,13735487.28,2127057.17,RESIDENT,331229,25882,9000.514867,1788.996094,1,0,19.87659729,A,A,A,80.12340546,D,1012,MEDIUM
20252,25883,506517,3200.0,0.625,29.51646,-98.5014,156350,1.0,105850,23936.0,2,0,3,LOW_USAGE,17.7249487,0,33618,0,BAMBURGH DR,SAN ANTONIO,TX,78216,25883,330860,211,13735663.76,2127056.64,RESIDENT,330860,25883,8778.879509999999,1840.996094,1,0,20.9707411,A,A,A,79.02925873,D,1012,LOW_USAGE
20253,25884,506528,16500.0,0.625,29.51598,-98.50167,155370,1.0,105850,123420.0,2,0,3,HIGH_USAGE,17.20600293,1,33619,0,BAMBURGH DR,SAN ANTONIO,TX,78216,25884,331228,214,13735487.04,2126987.58,RESIDENT,331228,25884,9012.619533,1706.996094,1,0,18.94006607,A,A,A,81.05993652,D,1012,HIGH_USAGE
